id,code,name,note,parent_code,kind,qualifier_kind,version
thema_1,1,Classificadores de LUGAR,"Use códigos de qualificação LUGAR 1* COM códigos de assunto apropriados para: indicar o escopo geográfico e a aplicabilidade do conteúdo, como a localização de um guia de viagem, o cenário de um romance, a jurisdição à qual as leis se aplicam, a história de um determinado lugar , os povos, artes, tradições ou cultura de uma determinada localização geográfica, etc. Onde existem opções, por exemplo. termos representando entidades reais, históricas, culturais, administrativas ou geofísicas, use a expressão que melhor se adequa ao conteúdo. Onde não existir nenhum código para um local específico, use o código mais amplo e apropriado mais próximo que o inclua. NÃO USE: para indicar qualquer aspecto geográfico que não tenha a ver com o conteúdo ou assunto de um livro (por exemplo, local de publicação, disponibilidade no mercado, nacionalidade do autor – está descrito em outros metadados, etc). Os ramais nacionais (ou seja, códigos de formato 1*-xx, onde ‘xx’ indica um código de país) podem ser atribuídos por qualquer usuário e não são exclusivos para usuários no país indicado. Esta seção não pretende ser uma lista completa de todos os lugares, mas uma lista de locais comumente usados ​​na cadeia global de fornecimento de livros. NÃO USE: o código ‘1’ em si, mas selecione classificadores específicos apropriados da seção 1*",,qualifier,place,1.6
thema_1A,1A,Mundo,Use for: indicating a specifically global context,1,qualifier,place,1.6
thema_1D,1D,Europa,,1,qualifier,place,1.6
thema_1DD,1DD,Europa Ocidental,,1D,qualifier,place,1.6
thema_1DDB,1DDB,Bélgica,,1DD,qualifier,place,1.6
thema_1DDB_BE_B,1DDB-BE-B,Bruxelas,,1DDB,qualifier,place,1.6
thema_1DDB_BE_F,1DDB-BE-F,Flandres,,1DDB,qualifier,place,1.6
thema_1DDB_BE_FA,1DDB-BE-FA,Antuérpia (Província),,1DDB-BE-F,qualifier,place,1.6
thema_1DDB_BE_FAA,1DDB-BE-FAA,Antuérpia,,1DDB-BE-FA,qualifier,place,1.6
thema_1DDB_BE_FB,1DDB-BE-FB,Brabante Flamengo,,1DDB-BE-F,qualifier,place,1.6
thema_1DDB_BE_FBA,1DDB-BE-FBA,Leuven,,1DDB-BE-FB,qualifier,place,1.6
thema_1DDB_BE_FC,1DDB-BE-FC,Limburgo (BE),,1DDB-BE-F,qualifier,place,1.6
thema_1DDB_BE_FCA,1DDB-BE-FCA,Hasselt,,1DDB-BE-FC,qualifier,place,1.6
thema_1DDB_BE_FD,1DDB-BE-FD,Flandres Oriental,,1DDB-BE-F,qualifier,place,1.6
thema_1DDB_BE_FDA,1DDB-BE-FDA,Gante,,1DDB-BE-FD,qualifier,place,1.6
